"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"Abhd17b",217,265,304,337
"Abhd17c",158,187,164,192
"Abhd18",156,164,149,251
"Abhd2",1138,1004,885,871
"Abhd3",465,457,458,530
"Abhd4",274,283,292,287
"Abhd5",82,118,109,92
"Abhd6",265,218,276,332
"Abhd8",1175,1121,1088,1218
"Abi1",679,678,673,790
"Abi2",1013,1204,1266,1322
"Abi3",3,3,0,1
"Abi3bp",51,66,81,62
"Abitram",182,147,136,190
"Abl1",491,480,476,569
"Abl2",1176,1016,950,1057
"Ablim1",3142,2475,2555,3911
"Ablim2",500,476,388,437
"Ablim3",858,564,561,874
"Abo",0,0,0,0
"Abr",1727,1786,1639,1655
"Abra",16,7,16,24
"Abracl",36,37,36,34
"Abraxas1",122,103,118,138
"Abraxas2",234,244,216,281
"Abt1",184,150,138,189
"Abtb1",425,351,303,491
"Abtb2",113,114,108,104
"AC141477.1",1,0,1,2
"AC150683.1",0,2,0,0
"AC151602.1",10,7,9,11
"AC163616.1",38,33,33,42
"Acaa1a",322,340,308,426
"Acaa1b",0,1,0,1
"Acaa2",28,23,17,29
"Acaca",414,398,336,421
"Acacb",62,66,45,52
"Acad10",26,30,24,53
"Acad11",134,148,147,142
"Acad12",25,28,27,32
"Acad8",191,169,181,215
"Acad9",161,169,140,204
"Acadl",104,106,130,104
"Acadm",210,245,232,212
"Acads",42,53,53,44
"Acadsb",435,472,477,513
"Acadvl",331,289,266,299
"Acan",52,89,24,28
"Acap1",3,4,9,7
"Acap2",714,806,815,864
"Acap3",488,440,444,629
"Acat1",303,261,237,386
"Acat2",165,175,129,136
"Acat3",11,11,21,14
"Acbd3",566,562,550,570
"Acbd4",266,177,218,270
"Acbd5",649,667,662,714
"Acbd6",210,212,171,224
"Acbd7",3,4,2,1
"Accs",58,46,54,53
"Accsl",0,2,3,2
"Acd",183,138,150,197
"Ace",235,229,129,89
"Ace2",6,5,2,5
"Ace3",0,1,0,0
"Acer2",60,81,33,55
"Acer3",271,262,224,309
"Ache",496,511,359,520
"Acin1",2000,1570,1447,2101
"Ackr1",356,352,337,473
"Ackr2",1,0,2,1
"Ackr3",51,77,65,50
"Ackr4",48,49,57,50
"Acly",709,883,634,658
"Acmsd",4,7,5,2
"Acnat1",3,0,1,2
"Acnat2",0,0,0,0
"Aco1",130,129,115,141
"Aco2",1619,1593,1534,1885
"Acod1",1,0,0,0
"Acot1",35,40,56,53
"Acot10",0,4,1,1
"Acot11",548,619,571,521
"Acot12",1,2,2,2
"Acot13",152,145,101,187
"Acot2",44,43,59,52
"Acot3",11,8,6,2
"Acot4",11,8,8,20
"Acot5",4,3,3,3
"Acot6",77,106,97,97
"Acot7",316,309,240,393
"Acot8",139,83,78,111
"Acot9",25,34,31,53
"Acox1",918,1013,1140,1074
"Acox2",1,0,2,6
"Acox3",199,194,162,211
"Acoxl",1,3,0,1
"Acp1",272,264,245,302
"Acp2",667,626,604,732
"Acp4",8,11,6,15
"Acp5",1,1,0,0
"Acp6",107,137,107,147
"Acp7",0,0,1,0
"Acpp",10,17,12,3
"Acr",4,5,10,5
"Acrbp",61,46,38,53
"Acrv1",0,1,0,0
"Acsbg1",1289,1233,1402,1420
"Acsbg2",0,1,0,0
"Acsf2",51,69,73,51
"Acsf3",155,131,120,171
"Acsl1",241,242,219,316
"Acsl3",741,1037,853,800
"Acsl4",470,523,471,541
"Acsl5",98,102,68,83
"Acsl6",1483,1552,1411,1690
"Acsm3",4,9,9,8
"Acsm4",2,2,0,1
"Acsm5",21,13,24,19
"Acss1",135,158,127,146
"Acss2",404,362,352,414
"Acss3",22,20,24,12
"Acta1",25,14,16,27
"Acta2",11,12,9,10
"Actb",5895,6579,6244,6566
"Actbl2",9,9,5,6
