mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
,,M00019_c,valphearg[c]
,,M00020_c,valprotrp[c]
,,vacccoa_c,valserarg[c]
,,M00127_c,valtrpphe[c]
,,M00115_c,valtrpval[c]
,,M00116_c,valval[c]
,,M02613_c,trpglyasp[c]
,,M02612_c,glyleu[c]
,,M00017_c,homoval[e]
,,M00018_c,xolest183_hs[c]
,,M01235_c,xolest182_hs[c]
,,M01236_c,xolest205_hs[c]
,,M01207_c,xolest226_hs[c]
,,M00123_c,sphmyln_hs[e]
,,M02457_c,hxa[e]
,,M00101_c,gncore1[c]
,,M02053_c,gncore1[e]
,,M02052_c,gncore2[e]
,,M01582_c,Lhcystin[e]
,,M00006_c,pgp_hs[m]
,,M03045_c,pglyc_hs[m]
,,M03047_c,acnam[e]
,,M03153_c,band[c]
,,M02112_c,bandmt[c]
,,M00010_c,etha[e]
,,M00012_c,ppp9[c]
,,M00341_c,acgal[e]
,,M00343_c,core4[e]
,,M00260_c,core5[e]
,,M00315_c,core7[e]
,,M00008_c,core8[e]
,,M00021_c,dsT_antigen[e]
,,M00023_c,galam[e]
,,M00265_c,galam[c]
,,clpn_hs_m,mqn10[c]
,,HC02042_c,mqn10[e]
,,HC02048_c,mqn11[c]
,,HC02054_c,mqn11[e]
,,HC02050_c,mqn7[c]
,,HC02056_c,mqn7[e]
,,HC02051_c,mqn9[c]
,,HC02057_c,mqn9[e]
,,HC02060_c,s2l2n2m2m[e]
,,M02686_c,sTn_antigen[e]
,,M02758_c,f1a[e]
,,HC02070_c,lpam[e]
,,HC02076_c,lpam[c]
,,galgluside_hs_r,CE2934[e]
,,galgbside_hs_c,mqn8[c]
,,M02197_c,dxtrn[e]
,,M02491_c,dhcholestanate[e]
,,M03131_c,thcholstoic[e]
,,gm1b_hs_c,xol7ah3[e]
,,gm3_hs_c,xol7aone[e]
,,M02012_l,xoldiolone[e]
,,M02013_l,7klitchol[e]
,,gd2_hs_c,2obut[e]
,,acglcgalgluside_hs_c,glcn[e]
,,galacglcgalgluside_hs_c,glyleu[e]
,,M02195_c,methf[c]
,,galfucgalacglcgalgluside_hs_c,ppbng[c]
,,M02683_c,hmbil[c]
,,acngal14acglcgalgluside_hs_c,4ppan[c]
,,acglcgal14acglcgalgluside_hs_c,4ppcys[c]
,,galacglcgal14acglcgalgluside_hs_c,phom[c]
,,acglcgalacglcgal14acglcgalgluside_hs_c,HC01668[c]
,,M02186_c,gua[e]
,,M02490_c,fprica[c]
,,M01881_c,glcr[e]
,,C01747_c,hxan[e]
,,5HPET_m,xyl__D[e]
,,CE6246_c,gal1p[c]
,,arachd_n,im4ac[c]
,,M01111_e,4izp[c]
,,HC02217_r,pydxn[e]
,,HC02180_r,pydx[e]
,,CE6232_c,pydam[e]
,,HC01118_c,4hbz[e]
,,Ssq23epx_c,34dhpha[e]
,,M00939_c,etoh[e]
,,M00937_c,acald[e]
,,44mzym_c,mqn8[e]
,,M00961_c,phpyr[e]
,,M00957_c,tym[e]
,,4mzym_int1_c,2hyoxplac[e]
,,4mzym_int2_c,lanost[e]
,,HC02110_c,3mox4hoxm[e]
,,M00963_c,glx[e]
,,M00959_c,CE4970[c]
,,M00955_c,CE4970[e]
,,M01067_c,CE2026[c]
,,zymst_c,CE2026[e]
,,chlstol_c,CE4968[c]
,,M00940_c,CE4968[e]
,,M00938_c,actyr[e]
,,M00942_c,sucaceto[e]
,,M00962_c,vanilpyr[c]
,,M00958_c,vanillac[c]
,,M00954_c,nacvanala[e]
,,M00966_c,vanillac[e]
,,M00967_c,2h3mv[c]
,,M00964_c,2h3mv[e]
,,M00960_c,2hiv[c]
,,M00956_c,2hiv[e]
,,M01068_c,2m3hbu[e]
,,cholcoar_c,2m3ovcoa[m]
,,cholcoas_m,2m3ovac[m]
,,HC01459_m,2m3ovac[c]
,,cholcoaone_m,2m3hvac[c]
,,M00978_c,2m3hvac[e]
,,M00976_c,3h3mglt[e]
,,M01081_c,3mglutac[m]
,,M01083_c,3mglutac[c]
,,M01077_c,3mglutac[e]
,,M01080_c,3mglutr[e]
,,M01077_m,ppiogly[m]
,,M01080_m,ppiogly[c]
,,M01076_m,ppiogly[e]
,,M01079_m,mvlac[e]
,,M00746_m,tiggly[m]
,,M00753_m,tiggly[c]
,,M02977_m,tiggly[e]
,,M00742_m,3ohglutac[c]
,,M02977_c,3ohglutac[e]
,,M00742_c,glutcon[e]
,,M00615_c,3hivac[e]
,,M00743_c,3hadpac[e]
,,M00615_x,3ohsebac[e]
,,M00743_x,3ohsubac[e]
,,M00625_m,caproic[c]
,,M00625_c,5ohhexa[e]
,,M00979_c,7ohocata[e]
,,M01084_c,ethmalac[e]
,,M02155_c,hexgly[c]
,,M00606_m,hexgly[e]
,,M00579_m,methsucc[e]
,,M01075_c,subgly[c]
,,M01075_r,subgly[e]
,,hestratriol_l,4ohbut[e]
,,CE5253_c,peste_hs[c]
,,CE5253_l,2hydog[c]
,,3ohxccoa_c,2hydog[e]
,,M00783_c,glutar[c]
,,M00049_c,glutar[e]
,,M00887_c,thexdd[m]
,,M00790_c,thexdd[c]
,,M00054_c,thexdd[e]
,,M00873_c,hexdtr[m]
,,M00778_c,hexdtr[c]
,,M00044_c,hexdtr[e]
,,M00907_c,hpdececoa[m]
,,M00802_c,hpdece[m]
,,M00067_c,hpdece[c]
,,M00879_c,hpdece[e]
,,M00715_c,eic21114tr[c]
,,M03016_c,eic21114tr[e]
,,M00843_c,5eipenc[m]
,,M00702_c,5eipenc[c]
,,M03014_c,5eipenc[e]
,,M00852_c,T4hcinnm[e]
,,M00707_c,agm[c]
,,M03018_c,agm[e]
,,M00839_c,andrstndn[e]
,,M00699_c,eandrstrn[c]
,,M03011_c,eandrstrn[e]
,,M00871_c,ahandrostan[c]
,,M00704_c,ahandrostan[e]
,,M03017_c,andrstandn[c]
,,CE4791_c,andrstandn[e]
,,M00860_c,CE2209[e]
,,M00085_c,C05301[e]
,,M03008_c,C05299[e]
,,M00869_c,C05302[e]
,,M00086_c,CE5072[e]
,,M03005_c,11docrtsl[e]
,,M00862_c,11docrtstrn[e]
,,M00712_c,prgnlone[e]
,,M03006_c,CE2211[e]
,,M01729_c,17ahprgstrn[e]
,,M01729_m,17ahprgnlone[e]
,,M02973_c,C03681[e]
,,M02973_m,prgnlones[e]
,,M00129_m,CE1352[e]
,,M02976_c,mma[e]
,,M02976_m,C05769[e]
,,M01141_m,mhista[e]
,,M01191_m,CE2006[e]
,,M02102_c,n8aspmd[e]
,,M02102_m,CE4890[e]
,,M00004_m,C09642[e]
,,M02103_c,ppp9[e]
,,M02103_m,mlthf[e]
,,M01237_m,trypta[e]
,,M00020_m,selmeth[e]
,,vacccrn_c,selmeth[c]
,,vacccrn_m,CE7090[c]
,,vacccoa_m,CE7090[e]
,,M00127_m,CE7085[e]
,,M02638_c,CE7096[e]
,,M02638_m,CE4877[e]
,,M00116_m,CE1447[c]
,,M02611_c,CE1447[e]
,,M02611_m,C05770[e]
,,M02612_m,CE2705[e]
,,M01776_c,13dampp[e]
,,M01776_m,hdd2crn[e]
,,M00018_m,N1aspmd[e]
,,M01777_c,CE1918[e]
,,M01777_m,34dhoxmand[e]
,,CE5151_m,CE6205[e]
,,M01775_c,1a25dhvitd3[e]
,,M01775_m,CE4969[c]
,,M01236_m,CE4969[e]
,,M00122_c,CE1310[c]
,,M00122_m,CE1310[e]
,,M00123_m,sucsal[e]
,,M00100_c,CE7081[r]
,,M00100_m,CE7081[c]
,,M00101_m,CE7081[e]
,,M02051_c,egme[c]
,,M02051_m,egme[e]
,,M02052_m,12harachd[c]
,,M01724_c,12harachd[e]
,,M01724_m,18harachd[c]
,,docoscoa_m,18harachd[e]
,,M01727_c,sql[c]
,,M01727_m,sql[e]
,,CE5155_m,orn__D[c]
,,M01726_c,orn__D[e]
,,M01726_m,5g2oxpt[c]
,,M00006_m,5g2oxpt[e]
,,M02637_c,dhea[e]
,,M02637_m,estrone[e]
,,M00011_c,C05298[e]
,,M00011_m,HC02020[e]
,,M00012_m,xol24oh[c]
,,M00342_c,xol24oh[e]
,,M00342_m,xol27oh[e]
,,M00343_m,xol25oh[e]
,,M00261_c,dsmsterol[e]
,,M00261_m,chsterols[e]
,,CE4854_m,3ityr__L[e]
,,M01770_c,35diotyr[e]
,,M01770_m,13_cis_retn[e]
,,CE4843_m,CE1617[e]
,,M00022_c,HC00005[e]
,,M00022_m,HC00009[e]
,,M00023_m,idl_hs[e]
,,M00263_c,ldl_hs[e]
,,M00263_m,HC00006[e]
,,CE4847_m,HC00007[e]
,,stcrn_r,HC00008[e]
,,odecrn_r,hdl_hs[e]
,,M01724_r,myelin_hs[c]
,,docoscoa_r,HC00460[e]
,,M02637_r,fna5moxam[e]
,,strdnccrn_r,CE5643[e]
,,strdnccoa_r,CE1401[e]
,,tmndnccrn_r,glucys[e]
,,lnlncgcrn_r,melatn[e]
,,dlnlcgcrn_r,6hoxmelatn[e]
,,ddca_r,C10164[e]
,,ddcacoa_r,C05767[e]
,,M03051_r,ppbng[e]
,,M03050_r,12ppd__R[e]
,,ttdca_r,ametam[e]
,,tdcoa_r,xylu__L[e]
,,M02745_r,xylu__D[e]
,,M01141_r,CE0737[e]
,,ttdcea_r,sphings[e]
,,M00129_r,im4ac[e]
,,M00117_r,aact[e]
,,HC10784_r,sphgn[e]
,,ptdca_r,C13856[e]
,,ptdcacoa_r,prist[e]
,,M01197_r,CE2049[e]
,,M01191_r,CE2047[e]
,,hpdca_r,fdp[e]
,,hpdcacoa_r,coke[e]
,,M00003_r,coke[c]
,,M00004_r,5a2opntn[e]
,,M01238_r,5a2opntn[c]
,,M01237_r,arg__D[c]
,,elaid_r,arg__D[e]
,,M00127_r,dopa4sf[c]
,,M00019_r,dopa4glcur[c]
,,M00020_r,dopa3glcur[c]
,,vacc_r,34dhpe[c]
,,vacccoa_r,dopa4sf[e]
,,lneldc_r,dopa4glcur[e]
,,lneldccoa_r,dopa3glcur[e]
,,M02613_r,CE5026[e]
,,M02612_r,5cysgly34dhphe[e]
,,arach_r,CE1261[e]
,,arachcoa_r,6hddopaqn[c]
,,CE2510_r,5cysdopa[c]
,,CE5151_r,23dh1i56dio[c]
,,M00017_r,4glu56dihdind[c]
,,M00018_r,ind56qn[c]
,,M01235_r,4glu56dihdind[e]
,,M01236_r,5cysdopa[e]
,,M01207_r,CE5025[e]
,,M00123_r,CE2172[e]
,,M02457_r,CE5629[e]
,,M00101_r,Rtotal[r]
,,M02053_r,dhcrm_hs[r]
,,M02052_r,Rtotal[g]
,,doco13ac_r,sphings[g]
,,CE5155_r,dhcrm_hs[g]
,,M01582_r,sphgn[g]
,,M00006_r,phcrm_hs[g]
,,M03045_r,phsphings[g]
,,M03047_r,phcrm_hs[r]
,,lgnc_r,phsphings[r]
,,ttccoa_r,galgluside_hs[e]
,,nrvnc_r,gluside_hs[e]
,,nrvnccoa_r,gm1_hs[l]
,,hexc_r,gm2_hs[l]
,,hexccoa_r,ga1_hs[l]
,,M03153_r,ga2_hs[l]
,,M02112_r,gd1b_hs[l]
,,eicostet_r,gd2_hs[l]
,,eicostetcoa_r,phcrm_hs[c]
,,clpnd_r,gd3_hs[e]
,,clpndcoa_r,gm3_hs[e]
,,tetpent3_r,ga1_hs[e]
,,tetpent3coa_r,gd3_hs[l]
,,crvnc_r,thcrm_hs[l]
,,c226coa_r,atp[g]
,,M00010_r,adp[g]
,,M00012_r,gm1_hs[e]
,,M00341_r,gm2_hs[e]
,,M00343_r,gm3_hs[l]
,,adrn_r,gd1a_hs[c]
,,adrncoa_r,gm1_hs[c]
,,tettet6_r,gd1b_hs[c]
,,tettet6coa_r,gt1b_hs[c]
,,dcsptn1_r,ga1_hs[c]
,,dcsptn1coa_r,gm2_hs[c]
,,M00008_r,ga2_hs[c]
,,CE4843_r,gm1b_hs[e]
,,M00021_r,gd1a_hs[e]
,,M00023_r,gd1b_hs[e]
,,M03047_x,gt1b_hs[e]
,,CE4855_x,gd2_hs[e]
,,M02112_x,gd1a_hs[n]
,,M00049_x,gm1_hs[n]
,,M00783_x,dag_hs[g]
,,CE2245_x,pchol_hs[n]
,,CE2249_x,sphmyln_hs[n]
,,CE2253_x,phsphings[c]
,,CE2242_x,phsph1p[c]
,,CE2246_x,sphings[n]
,,CE2250_x,sphs1p[n]
,,CE2243_x,sphgn[n]
,,CE2247_x,sph1p[n]
,,CE2251_x,cholp[n]
,,od2coa_x,cmpacna[e]
,,CE2248_x,gda1_hs[n]
,,HC01415_x,hhxdcal[c]
,,HC01405_x,34dhpe[e]
,,HC01406_x,gd3_hs[m]
,,HC01407_x,h2o2[r]
,,HC01408_x,15HPET[n]
,,CE2242_m,15HPET[x]
,,CE2246_m,15HPET[r]
,,CE2250_m,M02956[e]
,,CE2243_m,M00234[e]
,,CE2247_m,M01807[e]
,,CE2251_m,M00503[e]
,,CE2248_m,M00241[e]
,,3ohodcoa_m,M00510[e]
,,M00044_m,M01820[e]
,,M00778_m,M02560[e]
,,M00873_m,M00003[e]
,,M00054_m,M00008[e]
,,M00790_m,M00010[e]
,,M00887_m,M00017[e]
,,M00046_m,M00019[e]
,,M00780_m,M00021[e]
,,M00875_m,M00115[e]
,,M00061_m,M00117[e]
,,M00795_m,M00260[e]
,,M00897_m,M00265[e]
,,M03050_m,M00315[e]
,,M00069_m,M00341[e]
,,M00804_m,M01197[e]
,,M00909_m,M01207[e]
,,M00071_m,M01235[e]
,,M00806_m,M01238[e]
,,M00911_m,M01582[e]
,,M00056_m,M02053[e]
,,M00792_m,M02457[e]
,,M00889_m,M02613[e]
,,M00048_m,M02745[e]
,,M00782_m,M03045[e]
,,M00877_m,M03051[e]
,,M00063_m,M03153[e]
,,M00797_m,M02561[e]
,,M00899_m,M02909[e]
,,CE5154_m,C01601[e]
,,CE5153_m,M02108[e]
,,CE5152_m,M03117[e]
,,CE5150_m,M03134[e]
,,CE5148_m,caproic[e]
,,CE5144_m,xolest2_hs[l]
,,M03019_m,xolest2_hs[r]
,,M00172_m,M03134[c]
,,M00849_m,M02694[c]
,,M03022_m,M02694[m]
,,M01573_m,M02108[c]
,,M00885_m,M02107[c]
,,M03014_m,M02107[m]
,,M00702_m,M02616[c]
,,M00843_m,M02616[m]
,,M03024_m,M03117[c]
,,M00170_m,M03116[c]
,,M00841_m,M03116[m]
,,M03016_x,M03051[c]
,,M00715_x,M03050[c]
,,M00879_x,M00129[c]
,,CE5158_x,M00117[c]
,,CE5157_x,HC10784[c]
,,CE5156_x,M02745[c]
,,CE5155_x,M01141[c]
,,CE5154_x,M01197[c]
,,CE5153_x,M01191[c]
,,CE5152_x,M00003[c]
,,CE5151_x,M00004[c]
,,CE5150_x,M01238[c]
,,CE5148_x,M01237[c]
,,CE5144_x,M00019[c]
,,HC10856_x,M00020[c]
,,HC10857_x,vacccoa[c]
,,HC10858_x,M00127[c]
,,M01191_x,M00115[c]
,,M03019_x,M00116[c]
,,M00172_x,M02613[c]
,,M00849_x,M02612[c]
,,M01141_x,M00017[c]
,,M03022_x,M00018[c]
,,M01573_x,M01235[c]
,,M00885_x,M01236[c]
,,CE5116_m,M01207[c]
,,CE5114_m,M00123[c]
,,CE4791_m,M02457[c]
,,CE4793_m,M00101[c]
,,CE2437_m,M02053[c]
,,CE2438_m,M02052[c]
,,CE2439_m,M01582[c]
,,CE2440_m,M00006[c]
,,CE2441_m,M03045[c]
,,ac_x,M03047[c]
,,M01498_r,M03153[c]
,,M01510_r,M02112[c]
,,M01501_r,M00010[c]
,,M01487_r,M00012[c]
,,M01479_r,M00341[c]
,,M01470_r,M00343[c]
,,M01506_r,M00260[c]
,,M01477_r,M00315[c]
,,M01495_r,M00008[c]
,,M01454_r,M00021[c]
,,M01485_r,M00023[c]
,,M01464_r,M00265[c]
,,M01489_r,clpn_hs[m]
,,M01486_r,HC02042[c]
,,M01474_r,HC02048[c]
,,M01502_r,HC02054[c]
,,M01492_r,HC02050[c]
,,M01463_r,HC02056[c]
,,M01458_r,HC02051[c]
,,M01484_r,HC02057[c]
,,M01481_r,HC02060[c]
,,M01469_r,M02686[c]
,,M01494_r,M02758[c]
,,M01491_r,HC02070[c]
,,M01462_r,HC02076[c]
,,M01457_r,galgluside_hs[r]
,,M01509_r,galgbside_hs[c]
,,M01508_r,M02197[c]
,,M01465_r,M02491[c]
,,M01496_r,M03131[c]
,,M01497_r,gm1b_hs[c]
,,M01473_r,gm3_hs[c]
,,M01480_r,M02012[l]
,,M01468_r,M02013[l]
,,M01475_r,gd2_hs[c]
,,M01482_r,acglcgalgluside_hs[c]
,,M01471_r,galacglcgalgluside_hs[c]
,,M01466_r,M02195[c]
,,M01455_r,acgalfucgalacglcgalgluside_hs[c]
,,M01460_r,galfucgalacglcgalgluside_hs[c]
,,M01490_r,M02683[c]
,,M01476_r,acngal14acglcgalgluside_hs[c]
,,M01483_r,acglcgal14acglcgalgluside_hs[c]
,,M01472_r,galacglcgal14acglcgalgluside_hs[c]
,,M01467_r,acglcgalacglcgal14acglcgalgluside_hs[c]
,,M01456_r,M02186[c]
,,M01461_r,M02490[c]
,,amp_n,M01881[c]
,,HC01609_c,C01747[c]
,,M00245_c,5HPET[m]
,,dhlam_c,CE6246[c]
,,pail5p_hs_g,arachd[n]
,,pail_hs_g,12HPET[r]
,,retinol_r,gthox[r]
,,coucoa_c,M01111[e]
,,4hbzcoa_c,HC02217[r]
,,M00658_m,HC02180[r]
,,M01165_m,CE6232[c]
,,M00770_m,Ssq23epx[c]
,,peplys_c,44mzym[c]
,,M00213_c,M00961[c]
,,Ndmelys_c,M00957[c]
,,Ntmelys_c,4mzym_int1[c]
,,M01871_g,4mzym_int2[c]
,,M01872_g,HC02110[c]
,,M01872_e,M00963[c]
,,doldp__L_c,M00959[c]
,,M01869_g,M00955[c]
,,M01870_g,M01067[c]
,,M01870_e,zymst[c]
,,M00673_c,chlstol[c]
,,M01389_c,M00940[c]
,,ditp_e,M00938[c]
,,HC01361_c,M00942[c]
,,HC02057_r,M00962[c]
,,M02446_c,M00958[c]
,,M02446_e,M00954[c]
,,M02447_c,M00966[c]
,,M02447_e,M00967[c]
,,M02449_c,M00964[c]
,,M02449_e,M00960[c]
,,M02451_c,M00956[c]
,,M02451_e,M01068[c]
,,M01966_c,cholcoar[c]
,,adpman_e,cholcoas[m]
,,rbl__D_e,HC01459[m]
,,M01966_e,cholcoaone[m]
,,M02155_e,M00978[c]
,,M02035_c,M00976[c]
,,M02035_e,M01081[c]
,,M02467_c,M01083[c]
,,M02467_e,M01077[c]
,,M01881_e,M01080[c]
,,M03131_e,M01077[m]
,,n5m2masn_c,M01080[m]
,,n5m2masn_e,M01076[m]
,,dolichol__L_e,M01079[m]
,,M03168_m,M00746[m]
,,12dhchol_c,M00753[m]
,,12dhchol_e,M02977[m]
,,3dhchol_c,M00742[m]
,,3dhcdchol_c,M02977[c]
,,3dhcdchol_e,M00742[c]
,,3dhchol_e,M00615[c]
,,3dhdchol_c,M00743[c]
,,3dhdchol_e,M00615[x]
,,3dhlchol_c,M00743[x]
,,3dhlchol_e,M00625[m]
,,7dhcdchol_c,M00625[c]
,,7dhcdchol_e,M00979[c]
,,7dhchol_c,M00977[c]
,,7dhchol_e,M01082[c]
,,ca24g_c,M01084[c]
,,ca24g_e,20ahchsterol[r]
,,ca3s_c,M01989[c]
,,ca3s_e,M02155[c]
,,cdca24g_c,M00606[m]
,,cdca24g_e,M00579[m]
,,cdca3g_c,M00605[c]
,,cdca3g_e,M00406[c]
,,hyochol_c,M01075[c]
,,coprost_c,M01075[r]
,,coprost_e,M02760[c]
,,dca24g_c,M02761[c]
,,dca24g_r,M00603[c]
,,dca24g_e,M00285[c]
,,dca3g_c,M00429[m]
,,dca3g_r,hestratriol[l]
,,dca3g_e,CE5253[c]
,,dca3s_c,CE5253[l]
,,dca3s_e,3ohxccoa[c]
,,gca3s_c,M00783[c]
,,gcdca3s_c,M00049[c]
,,gdca3s_c,M00887[c]
,,gudca3s_c,M00790[c]
,,hca24g_c,M00054[c]
,,hca6g_c,M00873[c]
,,hdca24g_c,M00778[c]
,,hdca6g_c,M00044[c]
,,icdchol_c,M00907[c]
,,isochol_c,M00802[c]
,,lca24g_c,M00067[c]
,,lca3g_c,M00879[c]
,,lca3s_c,M00715[c]
,,tca3s_c,M03016[c]
,,tcdca3s_c,M00843[c]
,,tdca3s_c,M00702[c]
,,thyochol_c,M03014[c]
,,tudca3s_c,M00852[c]
,,uchol_c,M00707[c]
,,udca3s_c,M03018[c]
,,gca3s_e,M00839[c]
,,gcdca3s_e,M00699[c]
,,gdca3s_e,M03011[c]
,,gudca3s_e,M00871[c]
,,hca24g_e,M00704[c]
,,hca6g_e,M03017[c]
,,hdca24g_e,CE4791[c]
,,hdca6g_e,M00860[c]
,,hyochol_e,M00085[c]
,,icdchol_e,M03008[c]
,,isochol_e,M00869[c]
,,lca24g_e,M00086[c]
,,lca3g_e,M03005[c]
,,lca3s_e,M00862[c]
,,tca3s_e,M00712[c]
,,tcdca3s_e,M03006[c]
,,tdca3s_e,M01729[c]
,,thyochol_e,M01729[m]
,,tudca3s_e,M02973[c]
,,uchol_e,M02973[m]
,,udca3s_e,M00129[m]
,,2hatvacid_c,M02976[c]
,,2hatvlac_c,M02976[m]
,,2hatvacid_r,M01141[m]
,,2hatvacidgluc_r,M01191[m]
,,2hatvacidgluc_c,M02102[c]
,,2hatvacidgluc_e,M02102[m]
,,2hatvacid_e,M00004[m]
,,2hatvlac_r,M02103[c]
,,2hatvlacgluc_r,M02103[m]
,,2hatvlacgluc_c,M01237[m]
,,2hatvlacgluc_e,M00020[m]
,,atvlac_r,vacccrn[c]
,,2hatvlac_e,vacccrn[m]
,,pvs_r,vacccoa[m]
,,35dhpvs_c,M00127[m]
,,35dhpvs_e,M02638[c]
,,smv_r,M02638[m]
,,35dsmv_r,M00116[m]
,,35dsmv_c,M02611[c]
,,35dsmv_e,M02611[m]
,,3hlvst_c,M02612[m]
,,3hlvstacid_c,M01776[c]
,,3hlvstacid_e,M01776[m]
,,3hpvscoa_m,M00018[m]
,,3hpvstetcoa_m,M01777[c]
,,3hpvscoa_x,M01777[m]
,,3hpvstetcoa_x,CE5151[m]
,,3hpvstet_c,M01775[c]
,,3hpvstet_e,M01775[m]
,,3hpvs_r,M01236[m]
,,3hpvs_c,M00122[c]
,,3hpvs_e,M00122[m]
,,3hsmv_c,M00123[m]
,,3hsmvacid_c,M00100[c]
,,3hsmvacid_e,M00100[m]
,,6hsmv_r,M00101[m]
,,3hsmv_r,M02051[c]
,,pvs_c,M02051[m]
,,3ispvs_c,M02052[m]
,,3ispvs_e,M01724[c]
,,3ohacmp_c,M01724[m]
,,acmp_r,docoscoa[m]
,,3ohacmp_r,M01727[c]
,,3ohacmp_e,M01727[m]
,,glz_r,CE5155[m]
,,4hatvlac_c,M01726[c]
,,4hatvacid_c,M01726[m]
,,4hatvacid_e,M00006[m]
,,4hatvlac_e,M02637[c]
,,56dhpvs_c,M02637[m]
,,56dhpvs_e,M00011[c]
,,56eppvs_c,M00011[m]
,,56eppvs_e,M00012[m]
,,5ohfvs_r,M00342[c]
,,fvs_r,M00342[m]
,,5ohfvs_c,M00343[m]
,,5ohfvs_e,M00261[c]
,,6bhglz_c,M00261[m]
,,6bhglz_e,CE4854[m]
,,6bhglz_r,M01770[c]
,,6csmv_c,M01770[m]
,,6csmvacid_c,CE4843[m]
,,6csmvacid_e,M00022[c]
,,6msmv_r,M00022[m]
,,6csmv_r,M00023[m]
,,6epvs_c,M00263[c]
,,6epvs_e,M00263[m]
,,6hlvst_c,CE4847[m]
,,6hlvstacid_c,stcrn[r]
,,6hlvst_e,odecrn[r]
,,6hmsmv_c,M01724[r]
,,6hmsmvacid_c,docoscoa[r]
,,6hmsmvacid_e,M02637[r]
,,6hmsmv_r,strdnccrn[r]
,,6hsmv_c,strdnccoa[r]
,,6hsmvacid_c,tmndnccrn[r]
,,6hsmvacid_e,lnlncgcrn[r]
,,6melvst_c,dlnlcgcrn[r]
,,6melvacid_c,ddca[r]
,,6melvacid_e,ddcacoa[r]
,,6melvst_e,M03051[r]
,,7hpvs_c,M03050[r]
,,7hpvs_e,ttdca[r]
,,allop_e,tdcoa[r]
,,allop_c,M02745[r]
,,acmp_c,M01141[r]
,,acmp_e,ttdcea[r]
,,sulpacmp_c,M00129[r]
,,oxyp_c,M00117[r]
,,csa_c,HC10784[r]
,,atvacid_e,ptdca[r]
,,atvacid_c,ptdcacoa[r]
,,atvlac_c,M01197[r]
,,atvlac_e,M01191[r]
,,crvsm1_r,hpdca[r]
,,crvsm1_c,hpdcacoa[r]
,,crvsm1_e,M00003[r]
,,crvsm23_r,M00004[r]
,,crvs_e,M01238[r]
,,crvs_c,M01237[r]
,,cvm1gluc_r,elaid[r]
,,cvm23gluc_r,M00127[r]
,,crvsm23_c,M00019[r]
,,crvsm23_e,M00020[r]
,,crvsm24_c,vacc[r]
,,crvsm24_e,vacccoa[r]
,,csa_e,lneldc[r]
,,fvs_x,lneldccoa[r]
,,deoxfvs_x,M02613[r]
,,deoxfvs_c,M02612[r]
,,deoxfvs_e,arach[r]
,,glz_c,arachcoa[r]
,,dspvs_r,CE2510[r]
,,dspvs_c,CE5151[r]
,,dspvs_e,M00017[r]
,,fvs_e,M00018[r]
,,glz_e,M01235[r]
,,ibup__R_e,M01236[r]
,,ibup__S_e,M01207[r]
,,isolvstacid_e,M00123[r]
,,lstn_e,M02457[r]
,,lvst_e,M00101[r]
,,mdz_e,M02053[r]
,,ndersv_e,M02052[r]
,,oxyp_e,doco13ac[r]
,,profvs_e,CE5155[r]
,,ptvst_e,M01582[r]
,,ptvstlac_e,M00006[r]
,,ptvstm3_e,M03045[r]
,,pvs_e,M03047[r]
,,pvsgluc_e,lgnc[r]
,,rsv_e,ttccoa[r]
,,rsvlac_e,nrvnc[r]
,,smv_e,nrvnccoa[r]
,,smvacid_e,hexc[r]
,,sulpacmp_e,hexccoa[r]
,,tacr_e,M03153[r]
,,tmd_e,M02112[r]
,,tripvs_e,eicostet[r]
,,fvs_c,eicostetcoa[r]
,,ibup__R_c,clpnd[r]
,,ibupcoa__R_c,clpndcoa[r]
,,ibupcoa__S_c,tetpent3[r]
,,ibup__S_c,tetpent3coa[r]
,,isolvstacid_c,crvnc[r]
,,lstn_c,c226coa[r]
,,lvstacid_c,M00010[r]
,,lvst_c,M00012[r]
,,lvstacid_e,M00341[r]
,,lvst_r,M00343[r]
,,3hlvst_r,adrn[r]
,,mdz_c,adrncoa[r]
,,rsv_r,tettet6[r]
,,ndersv_r,tettet6coa[r]
,,ndersv_c,dcsptn1[r]
,,fvscoa_x,dcsptn1coa[r]
,,profvscoa_x,M00008[r]
,,profvscoa_c,CE4843[r]
,,profvs_c,M00021[r]
,,ptvst_c,M00023[r]
,,ptvst_r,M03047[x]
,,ptvstlac_r,CE4855[x]
,,ptvstlac_c,M02112[x]
,,ptvstm3_c,M00049[x]
,,ptvstm3_r,M00783[x]
,,pvsgluc_c,CE2245[x]
,,rsv_c,CE2249[x]
,,rsvgluc_r,CE2253[x]
,,rsvlac_r,CE2242[x]
,,rsvlac_c,CE2246[x]
,,smvacid_c,CE2250[x]
,,simvgluc_r,CE2243[x]
,,smvacid_r,CE2247[x]
,,smv_c,CE2251[x]
,,tacr_c,od2coa[x]
,,tmd_c,CE2248[x]
,,tripvs_c,HC01415[x]
,,3hpvscoa_c,HC01405[x]
,,3hpvstetcoa_c,HC01406[x]
,,fvscoa_c,HC01407[x]
,,protein_c,HC01408[x]
,,h_i,CE2242[m]
,,focytb5_c,CE2246[m]
,,cmpglna_c,CE2250[m]
,,ficytb5_c,CE2243[m]
